"TMAX
Deg. C","TMIN
Deg. C","RAINFALL 
IN MM","DayOfThe
Week","Workday?
True/False","Weekend?
True/False","Holiday?
True/False","Celebrations?
True/False",#Present
28.4,21.6,0.6,Sunday,FALSE,TRUE,FALSE,FALSE,5
28.1,21.7,0.5,Monday,TRUE,FALSE,FALSE,FALSE,904
28.3,22.4,1.6,Tuesday,TRUE,FALSE,FALSE,FALSE,1318
27.5,22,1.4,Wednesday,TRUE,FALSE,FALSE,FALSE,1279
29.2,21.7,2,Thursday,TRUE,FALSE,FALSE,FALSE,1271
30.8,21,0,Friday,TRUE,FALSE,FALSE,FALSE,807
29.6,19.8,0,Saturday,FALSE,TRUE,FALSE,FALSE,56
30.5,19.5,0,Sunday,FALSE,TRUE,FALSE,FALSE,6
30.3,20.6,0,Monday,TRUE,FALSE,FALSE,FALSE,879
32.6,21.7,0,Tuesday,TRUE,FALSE,FALSE,FALSE,1020
34.6,23.3,10.9,Wednesday,FALSE,FALSE,TRUE,TRUE,10
32.6,20.8,13,Thursday,TRUE,FALSE,FALSE,FALSE,795
33.1,22.4,0.2,Friday,TRUE,FALSE,FALSE,FALSE,506
34.4,22.4,0.1,Saturday,FALSE,TRUE,FALSE,FALSE,17
31.8,23.2,9.4,Sunday,FALSE,TRUE,FALSE,FALSE,4
31.6,22.6,0,Monday,TRUE,FALSE,FALSE,FALSE,721
32.4,22,0,Tuesday,TRUE,FALSE,FALSE,FALSE,1159
29.6,22.4,18.1,Wednesday,TRUE,FALSE,FALSE,FALSE,1167
31.1,21.6,47.8,Thursday,TRUE,FALSE,FALSE,TRUE,930
31.9,22.6,1.3,Friday,FALSE,FALSE,TRUE,FALSE,22
31.2,23.4,0,Saturday,FALSE,TRUE,FALSE,FALSE,27
32.9,23,0.1,Sunday,FALSE,TRUE,FALSE,FALSE,11
30.5,21.9,38.7,Monday,TRUE,FALSE,FALSE,FALSE,1075
26.2,22.2,6.8,Tuesday,TRUE,FALSE,FALSE,FALSE,1439
27.4,21.8,9.4,Wednesday,TRUE,FALSE,FALSE,FALSE,1481
29.6,21.7,4.3,Thursday,TRUE,FALSE,FALSE,FALSE,1397
24.1,21.9,14.8,Friday,TRUE,FALSE,FALSE,FALSE,626
29.7,20.7,31,Saturday,FALSE,TRUE,FALSE,FALSE,64
27.8,21.1,1.5,Sunday,FALSE,TRUE,FALSE,FALSE,13
26.6,20.3,0.8,Monday,TRUE,FALSE,FALSE,FALSE,1099
24.8,21.1,4.8,Tuesday,TRUE,FALSE,FALSE,FALSE,1457
26.7,19.7,1.7,Wednesday,TRUE,FALSE,FALSE,FALSE,1530
28.7,20.8,0,Thursday,TRUE,FALSE,FALSE,FALSE,1400
28.1,20,0,Friday,TRUE,FALSE,FALSE,TRUE,798
30.1,19.6,0,Saturday,FALSE,TRUE,FALSE,FALSE,28
29,21.7,0.5,Sunday,FALSE,TRUE,FALSE,FALSE,6
27,20.8,0,Monday,TRUE,FALSE,FALSE,TRUE,981
30.4,21.8,0.3,Tuesday,TRUE,FALSE,FALSE,FALSE,1372
28.8,21.6,0.3,Wednesday,TRUE,FALSE,FALSE,FALSE,1325
31.3,22.1,0.6,Thursday,TRUE,FALSE,FALSE,FALSE,1375
33.1,21.3,26.5,Friday,TRUE,FALSE,FALSE,FALSE,782
